Landmark,RL,AP,SI
T9R+,7.78231112758,-61.1275632863,213.000933483
T10L+,-58.7732382313,-24.126257228,226.487962492
T10R+,-1.0197855749,-54.2389620468,190.280027805
T11L+,-53.6532834157,-46.2521177779,187.69554869
T11R+,-8.01987958416,-44.6528558927,167.861227787
T12L+,-62.0274412132,-41.7183235148,147.532147397
T12R+,-20.8776955753,-37.1321732872,142.93083246
L1L+,-95.1726493793,-15.2992318942,125.764857663
L1R+,-11.704111765,-25.6187726723,117.82854678
L2L+,-79.9708083064,-23.245832643,86.0897760028
L2R+,-12.0990005546,-20.5138847278,87.2794308094
L3L+,-84.1430884385,-16.1501243769,49.7690122266
L3R+,1.05546477403,-13.3207314804,56.7727021063
L4L+,-79.81393,-8.5575,16.6711
L4R+,5.05101,-6.8629,23.1661
L5L+,-75.79796,-1.428,-16.5534
L5R+,9.06698,0.2666,-10.0584
TrXFiducials015+,,,
T1L+,-16.77077,-27.46825,363.9665
T1R+,44.12493,-28.03345,375.6765
T2L+,-26.3948,-71.0184,364.63
T2R+,22.9543,-71.3624,359.692
T3L+,-27.6256,-68.4063,340.915
T3R+,21.7235,-68.7503,335.977
T4L+,-28.8564,-65.7942,317.2
T4R+,20.4927,-66.1382,312.262
T5L+,-30.0872,-63.1821,293.485
T5R+,19.2619,-63.5261,288.547
T6L+,-31.318,-60.57,269.77
T6R+,18.0311,-60.914,264.832
T7L+,-32.5488,-57.9579,246.055
T7R+,16.8003,-58.3019,241.117
T8L+,-34.2603690706,-55.732864477,221.634955296
T8R+,14.9943843662,-55.2738390133,216.176329309
T9L+,-33.592580887,-54.2376304355,200.607297831
T9R+,12.7566703892,-52.8829075017,190.342352386
T10L+,-36.7080490723,-50.9042894053,181.546076547
T10R+,7.04201281778,-44.9737527752,166.993450277
T11L+,-37.538015112,-47.6423277104,158.013054259
T11R+,-1.74026696958,-33.3436851758,142.820753332
T12L+,-62.3616974556,-38.5919029993,134.366924785
T12R+,11.4599805438,-2.18762685424,123.850665365
L1L+,-54.7732359759,-44.6606231974,97.6674917226
L1R+,-5.17752664798,-16.5235237211,96.4366091376
L2L+,-54.8044979806,-39.1043208539,67.7232280712
L2R+,7.90985956319,12.4467092868,80.3329853661
L3L+,-52.48169,-32.91065,40.9796
L3R+,4.08285,-8.03095,51.0062
L4L+,-49.90798,-27.8801,14.974
L4R+,6.65656,-3.0004,25.0006
L5L+,-47.33427,-22.84955,-11.0316
L5R+,9.23027,2.03015,-1.005
TrXFiducials016+,,,
T1L+,-16.77077,-27.46825,363.9665
T1R+,44.12493,-28.03345,375.6765
T2L+,-12.2595383042,-26.7154678893,339.319259449
T2R+,47.4851041431,-28.812265471,352.433451455
T3L+,-3.79120390768,-28.3909481667,313.590405189
T3R+,49.5543097946,-26.4824704896,332.852585464
T4L+,2.93045220457,-23.8473767776,293.51399198
T4R+,70.6294637986,-4.64431613757,316.609454048
T5L+,-6.17419832255,2.53807410464,272.103262135
T5R+,61.242990322,-25.7211879432,292.285437015
T6L+,11.37740801,-15.8867510845,253.591815428
T6R+,71.3866289287,-25.6762937048,268.870611808
T7L+,16.2844909803,-10.1370022819,236.908354416
T7R+,77.1545350192,-27.17103728,247.724346235
T8L+,18.5673713945,-5.14819346834,218.188764399
T8R+,76.958145492,-23.5065849536,220.476474565
T9L+,24.2909083617,-5.83787451317,196.508732357
T9R+,99.1909188735,-5.41385696795,191.309524566
T10L+,15.2375753267,27.1591548419,191.146907272
T10R+,70.1416686726,-11.310079994,167.09525348
T11L+,6.09359200016,25.9611693447,153.300659666
T11R+,92.3624251087,10.7863398819,143.856540746
T12L+,18.0921625299,8.35909667764,124.694376619
T12R+,55.4123029232,5.89046665026,115.697404701
L1L+,1.01413743975,22.7585343757,100.592656945
L1R+,85.6501290467,31.9108444752,93.7318969084
L2L+,-15.4294523821,23.0289956366,79.7008959478
L2R+,63.7165174244,17.4405538796,65.2593969933
L3L+,-25.6109627473,24.6813249049,49.9207051935
L3R+,64.2524302057,21.6988199311,40.2889362652
L4L+,-17.6613613919,22.2529945501,15.2806127086
L4R+,51.9961067657,23.7129973344,10.7488219928
L5L+,-18.5136,22.56325,-15.3398
L5R+,49.6834,24.32495,-20.783
EOF,,,
