Landmark,RL,AP,SI
T4R,23.9978,-60.6234,327.189
T5L,-23.1461,-62.9478,290.14
T5R,30.1772,-63.5795,308.139
T6L,-15.4928,-57.9814,270.691
T6R,37.8062,-64.8383,286.655
T7L,-9.61259,-51.931,250.373
T7R,42.9029,-63.9183,263.472
T8L,-6.31693,-46.4825,233.547
T8R,47.6922,-60.481,236.888
T9L,-3.32839,-41.7893,217.413
T9R,49.3706,-51.6303,211.36
T10L,-3.75943,-39.1355,199.533
T10R,45.2596,-44.9959,185.663
T11L,-5.94312,-31.5596,175.355
T11R,39.7724,-33.5727,164.112
T12L,-7.91055,-25.9818,145.008
T12R,33.0588,-24.8092,137.039
L1L,-18.3278,-15.7851,120.333
L1R,37.8431,-12.101,111.919
L2L,-28.4042,-14.4064,89.8226
L2R,40.3096,-6.77247,85.9188
TrXFiducials020,,,
T3L,-55.6633,-74.1096,359.482
T3R,0.149448,-63.2649,360.367
T4L,-52.6982,-75.4194,329.406
T4R,-2.19028,-65.5006,343.488
T5L,-51.0725,-71.2431,308.426
T5R,2.48714,-67.8057,322.111
T6L,-44.5812,-65.0335,283.699
T6R,9.34365,-70.0355,299.157
T7L,-38.6579,-58.0574,264.396
T7R,11.7653,-70.8559,270.262
T8L,-38.3862,-52.0783,248.872
T8R,11.4884,-67.1911,242.793
T9L,-40.8958,-48.5636,231.952
T9R,7.4895,-61.1273,212.593
T10L,-45.5209,-46.8462,215.99
T10R,-0.547553,-54.0227,190.356
T11L,-53.2361,-45.1183,187.467
T11R,-8.65482,-42.2431,167.959
T12L,-61.1647,-40.8379,148.89
T12R,-22.0458,-37.9245,143.103
L1L,-77.4442,-33.0258,118.766
L1R,-11.7148,-24.3316,117.293
L2L,-79.9137,-23.406,85.613
L2R,-10.9131,-20.5324,87.1222
L3L,-83.8299,-15.687,49.8956
L3R,1.03504,-13.9924,56.3906
TrXFiducials022~,,,
T4L~,-33.0116366008,-32.7426788062,-38.6335955328
T4R~,28.1705893456,-28.8474092072,-35.4945205158
T5L~,-31.5037402618,-41.6357713866,-61.2469405195
T5R~,29.5202223847,-37.5425851738,-57.9886031833
T6L~,-30.9072523787,-46.8589257935,-84.5198886659
T6R~,33.076354591,-46.3247840403,-82.6103144495
T7L~,-27.4564392218,-56.1584860156,-108.561091747
T7R~,36.6589551498,-54.0092137052,-107.08322542
T8L~,-28.8261566846,-66.2386406378,-136.094388056
T8R~,35.2381497742,-62.3349729141,-136.200563699
T9L~,-31.4447384203,-69.7603690994,-164.587944876
T9R~,31.5372646292,-66.7919593147,-168.177620498
T10L~,-32.3323893113,-70.3790266996,-191.145950571
T10R~,26.9018508048,-64.6644198234,-194.183352758
T11L~,-32.4233270473,-64.8659067632,-223.185971717
T11R~,22.4673505207,-60.4586208985,-226.437979901
T12L~,-31.9623289667,-54.8024257892,-255.202075606
T12R~,12.7527978386,-46.8822068637,-259.279238826
L1L~,-39.6455816301,-40.290329154,-284.032826814
L1R~,14.9702006988,-32.6565567599,-288.838154066
L2L~,-47.5874330902,-32.0268650097,-311.822901621
L2R~,13.651219457,-21.9629283162,-314.139594658
L3L~,-59.9105161362,-26.0369628369,-345.395247894
L3R~,21.5346852883,-14.2859200822,-349.925592879
TrXFiducials024~,,,
T3L~,-35.1092788308,-59.7403207873,-20.7135834922
T3R~,14.5012507275,-56.7664380352,-14.7247176033
