Landmark,RL,AP,SI
T2L*,-22.7267,51.638,62.7054
T2R*,34.5655,31.1152,63.6574
T3L*,-26.5214,42.3639,46.5858
T3R*,28.2963,20.4402,44.456
T4L*,-31.0472,33.6196,32.2156
T4R*,21.8946,9.83126,26.093
T5L*,-35.6133,25.4994,17.298
T5R*,15.0189,2.06424,8.30115
T6L*,-41.0705,17.6571,1.3783
T6R*,8.38616,-3.82037,-8.78157
T7L*,-48.8956,13.0884,-15.0457
T7R*,1.30138,-9.85279,-28.2052
T8L*,-55.5363,7.21055,-31.8255
T8R*,-8.51721,-14.6235,-47.886
T9L*,-63.1152,1.61681,-49.789
T9R*,-18.2976,-18.4268,-64.6801
T10L*,-71.0478,-2.25201,-67.7143
T10R*,-30.2761,-21.3636,-83.8995
T11L*,-76.6377,-4.33248,-86.6586
T11R*,-39.2566,-20.9952,-101.296
T12L*,-87.0377,-4.68722,-114.718
T12R*,-53.5509,-19.8317,-124.36
L1L*,-101.425,-7.31135,-137.041
L1R*,-50.2984,-20.9821,-151.335
L2L*,-111.37,-8.13979,-162.318
L2R*,-53.6976,-21.9925,-175.779
L3L*,-122.533,-6.56329,-196.499
L3R*,-52.3698,-23.1425,-201.642
L4L*,-121.751,-0.742324,-227.571
L4R*,-54.0151,-12.1021,-227.398
L5L*,-122.738,1.87101,-259.49
L5R*,-48.1237,-7.79429,-252.407
TrXFiducials028*,,,
T1L*,-56.87972,-52.7639,396.653
T1R*,4.55642,-53.2383,399.02
T2L*,-56.50186,-55.3488,374.9605
T2R*,4.93428,-55.8232,377.3275
T3L*,-56.124,-57.9337,353.268
T3R*,5.31214,-58.4081,355.635
T4L*,-54.1189,-60.1399,326.415
T4R*,4.06276,-61.3717,339.103
T5L*,-50.2986,-59.1193,300.418
T5R*,7.77243,-66.0932,314.43
T6L*,-44.6594,-55.6249,275.345
T6R*,12.8247,-67.8883,289.146
T7L*,-40.7687,-51.9756,254.754
T7R*,20.6646,-67.8599,262.566
T8L*,-39.5835,-46.6596,235.799
T8R*,26.7582,-67.8104,235.891
T9L*,-36.973,-44.1373,216.529
T9R*,28.4897,-63.2407,209.473
T10L*,-33.9721,-49.4613,192.402
T10R*,20.864,-60.5829,183.068
T11L*,-39.1235,-47.2429,164.174
T11R*,18.4209,-53.5125,155.195
T12L*,-33.0785,-49.9582,131.15
T12R*,10.3752,-52.7762,125.17
L1L*,-52.2369,-49.7689,101.556
L1R*,28.8462,-48.0057,99.0716
L2L*,-53.1853,-54.0902,68.092
L2R*,25.252,-46.6439,62.9836
