Input sample #,Resulting output
0,0.92188
1,0.01561602111358788
2,-0.007656789354619053
3,0.009087933038782473
4,-0.0051051448099505466
5,0.009089330115404762
6,-0.0051057268999940815
7,0.006537642162826606
8,-0.005106103708265958
9,0.00398530018604281
10,-0.005106333399604717
11,0.0014323549299177227
12,0.0
13,0.0014323869608429112
14,0.0
15,0.0014324189923529526
16,0.0014324510244478484
17,0.0014324830571276008
18,0.0014325150903922116
19,0.0014325471242416824
20,0.0014325791586760155
21,0.0
22,0.0
23,0.0
24,-0.002553322768937859
25,-0.0025533372911502768
26,-0.0025533518132559354
27,-0.002553366335254832
28,-0.002553380857146965
29,-0.002553395378932331
30,-0.002553409900610928
31,-0.002553424422182753
32,-0.0029576991560246665
33,0.0
34,0.0
35,0.0014327371821334061
36,0.0014327692200375637
37,0.003986306262746898
38,0.003986486231967245
39,0.006540192995261074
40,0.003987054542037375
41,0.006540948329458651
42,0.009095520340604638
43,0.006542369173646142
44,0.006542887772321477
45,0.006543406367704929
46,0.003989457291973654
47,0.003989637303190585
48,0.003989817316799513
49,0.0014352675901217445
50,0.003990041675623173
51,0.00143542294640893
52,0.0
53,0.0
54,-0.0025547650729997114
55,-0.005109559169186648
56,-0.01062095954621187
57,-0.007665173159611334
58,-0.00511026761448491
59,-0.005110383685474747
60,-0.002555249876519191
61,-0.0025552643845363314
62,0.0
63,0.0014360760025009514
64,0.0
65,0.001436108101310177
66,0.0039914895706411975
67,0.0014362634959667175
68,0.0014362955981932575
69,0.0014363277010048723
70,0.0
71,0.0014363598044015637
72,0.0028727838167666667
73,0.0003176283772003629
74,0.0
75,0.0
76,-0.002555461864360631
77,-0.0025554763708127708
78,0.0
79,0.0014365754407913026
80,0.001436607548702775
81,0.0014366396571993394
82,0.0014366717662809977
83,0.0
84,-0.0025555399276613417
85,0.0
86,-0.0025555544335370056
87,-0.0025555689393055372
88,0.0
89,0.0
90,0.0
91,0.0014367693139898732
92,0.0039924431112281665
93,0.006548229626714184
94,0.003993011512426644
95,0.0014373061744980724
96,0.0014373382957232686
97,0.001437370417533597
98,0.0014374025399290595
99,0.001437434662909658
100,0.001437466786475394
101,0.0014374989106262694
102,0.001437531035362286
103,0.0014375631606834455
104,0.0014375952865897496
105,0.0014376274130812002
106,0.00399367987278054
107,0.00031958067704758995
108,0.0
109,-0.0029553777749219187
110,0.0
111,0.0
112,0.0014377457886265953
113,0.003993866611658047
114,0.001437901246789844
115,0.00399409108195149
116,0.001438056710946775
117,0.0
118,0.0014380888458417006
119,0.0
120,-0.00551151499146121
121,-0.0025562162343724564
122,-0.002556230735249871
123,-0.00255624523602004
124,-0.0025562597366829603
125,-0.00295530168900498
126,0.0
127,0.0014381158875351897
128,0.0
129,-0.00255628221726618
130,-0.0025562967176555717
131,-0.005112622435875414
132,-0.002556369218637211
133,-0.0051127674367660424
134,-0.0025564417169371776
135,-0.0051129124322932045
136,-0.007669706254575106
137,-0.005113289412359045
138,-0.0025567026970081653
139,-0.0025567171942860365
140,0.0
141,0.0014388240173488706
142,0.0014388561662139368
143,0.0014388883156642178
144,0.00032111847264648294
145,0.0014389320772830133
146,0.0014389642281150894
147,0.001438996379532386
148,0.00399588355510986
149,0.001439151891191539
150,0.0
151,-0.0025568779792853012
152,-0.0051137849505305906
153,-0.007671015021096893
154,-0.007671406423111465
155,-0.0051144227583341684
156,-0.005114538706414439
157,-0.002557327325528678
158,-0.00511468363635867
159,-0.002557399788352235
160,0.0
161,0.0014399907341672018
162,0.006554876015247804
163,0.010553396027999302
164,0.014230766225571673
165,0.01423431188962504
166,0.014237857000462711
167,0.014241401557097553
168,0.013129488240435382
169,0.014248580365847082
170,0.01169090270711014
171,0.009131759106812276
172,0.006571076305683869
173,0.0014480297609683881
174,0.0
175,-0.0025617947772551197
176,-0.0025618092366365202
177,-0.0025618236959097434
178,-0.0025618381550747875
179,0.0
180,-0.002561852614131649
181,-0.0025618670730803263
182,0.0
183,-0.0025618815319208166
184,-0.0025618959906531175
185,0.0
186,-0.002561910449277227
187,0.0
188,0.0
189,0.0014482579915935565
190,0.0014482903118042021
191,0.0
192,-0.0055134822258186
193,-0.00512394519279873
194,-0.007686255255755497
195,-0.007686645636424376
196,-0.007687035990790734
197,-0.007687426318849317
198,-0.00512510174489269
199,-0.010250434749311726
200,-0.010251359759690342
201,-0.007689377530903765
202,-0.008077611829739366
203,-0.0025632804845864953
204,-0.005126589865671676
205,-0.005126705450799022
206,-0.007690395606957893
207,-0.007690785708305929
208,-0.008078601894054719
209,-0.002563749793918951
210,0.0014507459525079788
211,0.0014507783177778186
212,0.0014508106836334674
213,0.001450843050074927
214,0.0014508754171021984
215,0.0
216,0.0014509077847152836
217,0.0014509401529141839
218,0.004014869388236203
219,0.00657891042346235
220,0.00401543812284217
221,0.006579665801606523
222,0.009144571974342559
223,0.011709996703598968
224,0.009147452790535688
225,0.011713472476196357
226,0.009150333232814434
227,0.0117169477518007
228,0.0142852310022776
229,0.011722072287853377
230,0.014291240561978346
231,0.009159943093892162
232,0.006593262501034177
233,0.006593780726205944
234,0.0014584823662452259
235,0.004026482175521695
236,0.0014586386823526923
237,0.004026707513196997
238,0.0014587950043497566
239,0.0
